Blog	an	analytics	as	business	by	company	financial	from	global	government	health	help	information	more	on	our	products	provides	research	s	services	software	solutions	technology	their	through	we
Experian	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0
Charles River Associates	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Google Public Data Explorer	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Compliance and Risks	1	0	0	1	1	0	0	1	5	0	0	0	0	0	0	2	2	2	0	0	0	2	2	0	2	0	1
gRadiant Research LLC	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Everyday Health	0	2	0	0	0	0	0	2	0	0	6	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0
Be Informed	1	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	2	2	0	0	0
Aureus Sciences (*Now part of Elsevier)	0	0	0	1	1	1	0	0	0	0	1	0	4	0	0	0	0	3	2	0	0	0	4	1	0	0	0
Arpin Van Lines	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	1	4	0	0	0	0	1	0
3 Round Stones, Inc.	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1
CB Insights	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	4	0	0
Aquicore	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	2	0	2	0	0	0
CostQuest	0	0	0	3	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	2	0	0	0	0
Appallicious	1	0	0	1	1	1	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0
Asset4	0	0	0	0	0	1	2	0	0	0	0	0	4	0	1	0	0	4	1	0	0	0	2	0	0	0	0
Google Maps	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0
Funding Circle	3	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
Estately	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
AllState Insurance Group	0	0	0	4	0	7	2	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	1	2	0
Avalara	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	2	0	0	0
Code for America	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Ensco	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	1	2	0	0	0	0	0	2
FirstPoint, Inc.	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0
FlightView	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	1	1	1	0	0	0
BaleFire Global	1	0	3	0	0	0	0	0	2	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1
EarthObserver App	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
Berkshire Hathaway	0	0	0	2	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Equilar	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GuideStar	0	0	2	0	2	0	0	0	0	0	0	0	6	2	1	1	0	1	0	2	0	0	0	0	0	0	5
Foursquare	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
GitHub	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Alltuition	1	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
H3 Biomedicine	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
First Fuel Software	0	4	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0
CAN Capital	0	0	0	4	3	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	1	0	0	3	0
Adobe Digital Government	0	1	0	1	0	1	0	0	1	5	0	2	2	1	0	0	0	1	0	1	1	0	4	0	2	0	0
iFactor Consulting	1	0	1	0	0	1	0	0	0	0	0	0	0	0	2	3	4	0	0	1	2	2	1	0	1	0	0
CoreLogic	0	2	0	0	0	1	0	1	1	0	0	1	2	1	1	0	0	0	0	1	2	0	0	1	0	1	0
CARFAX	0	0	0	0	0	0	0	1	0	0	0	0	3	0	3	1	0	2	0	0	0	0	0	0	0	0	0
Honest Buildings	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
HealthPocket, Inc.	0	0	0	0	4	0	0	0	0	2	7	1	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0
Cambridge Semantics	2	0	0	0	1	0	0	4	0	0	0	0	2	0	1	0	0	2	0	0	0	2	3	0	0	0	0
Consumer Reports	1	0	0	0	1	0	0	1	0	0	1	2	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0
Fujitsu	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	2	1	0	0	0	1	0	1	2	1	0	1
eInstitutional	0	0	0	0	0	0	3	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2
Equifax	0	2	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0
eScholar LLC.	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
Gallup	0	0	2	3	0	0	0	0	0	0	0	2	0	0	4	0	0	1	1	3	0	0	0	0	0	2	0
Caspio	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Enervee Corporation	3	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	5	3	1	1	1	0	0	0	0	1	1
BillGuard	0	1	0	0	0	1	0	3	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	1	2	0	2
GetRaised	0	0	0	0	0	0	0	2	0	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Galorath Incorporated	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1	1	0	0
Impact Forecasting (Aon)	0	0	0	0	0	0	2	1	0	0	0	2	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0
Ez-XBRL	0	4	0	0	2	1	5	0	2	0	0	0	0	0	0	2	1	1	2	0	2	0	2	0	0	0	0
BlackRock	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Business and Legal Resources	0	0	0	2	1	0	0	0	0	0	0	1	2	1	0	2	1	0	0	2	1	0	0	0	0	1	4
CONNECT-DOT LLC.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Center for Responsive Politics	1	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0
Civic Impulse LLC	0	0	0	0	1	0	0	0	0	4	0	1	0	2	2	0	0	0	0	1	0	0	0	0	1	0	0
Garmin	0	0	1	1	0	0	0	0	1	0	0	0	2	1	0	1	2	0	0	1	0	0	0	0	0	0	0
Apextech LLC	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	2	0	1	0	0
Compendia Bioscience Life Technologies	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0
Impaq International	0	0	0	0	0	0	0	0	0	0	2	2	0	0	3	1	0	0	4	0	0	0	0	0	1	0	2
Earthquake Alert!	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1
Cambridge Information Group	1	0	0	1	0	0	0	0	0	0	0	0	5	0	4	4	0	0	2	0	3	0	0	1	0	1	0
Govini	0	2	1	2	2	0	0	0	0	3	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	0
Civis Analytics	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1
AccuWeather	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	1	3	0	0	1	0	0	0	0	0	0
Chemical Abstracts Service	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Connotate	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	2	1	0	1	0	0	0	1	0	0	0
Credit Karma	0	0	0	0	1	0	2	1	0	0	0	1	0	3	1	2	0	0	0	0	0	0	0	0	3	0	0
Ecodesk	2	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DataLogix	0	1	0	0	2	1	1	1	0	0	0	1	0	0	0	0	0	2	0	1	1	0	1	0	0	0	1
InnoCentive	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	1	1	0
Canon	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
Buildingeye	0	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	1	0	0
ConnectEDU	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	2	2	2	0	0
Genability	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	1	0	0	3	0	0
Food+Tech Connect	0	0	0	3	0	2	0	1	0	0	1	1	0	2	0	1	0	0	4	0	0	0	0	1	0	3	2
Child Care Desk	1	0	0	1	0	0	0	0	0	2	0	5	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0
Altova	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	3	0	0	0	0	0
Cloudspyre	1	0	0	0	0	2	0	0	0	0	0	1	0	0	5	1	0	0	0	1	0	3	1	0	1	0	1
Informatica	0	0	0	0	0	1	0	0	1	0	0	1	3	0	0	0	0	2	0	1	2	2	1	0	2	0	0
Bridgewater	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InfoCommerce Group	0	0	0	3	0	0	0	0	0	0	2	0	3	0	0	1	3	0	2	0	0	0	0	0	0	1	0
HERE	0	0	0	2	0	0	0	0	0	0	0	0	1	5	2	0	0	0	0	1	1	0	0	0	1	0	0
Forrester Research	1	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0
Glassy Media	0	0	0	0	0	2	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Alarm.com	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	2	1	3	0
CliniCast	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
Acxiom	2	2	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0
Amida Technology Solutions	0	0	0	0	0	0	0	0	0	0	5	0	2	0	2	0	0	0	0	0	0	0	2	0	2	0	0
CoolClimate	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	1	0	1	3	1	1	0	0	0	0	0	0
CrowdANALYTIX	2	2	0	0	0	0	0	1	0	0	0	0	1	1	2	0	0	0	0	0	2	0	0	0	2	0	0
Analytica	1	0	1	1	0	1	1	0	0	0	1	0	2	0	0	0	0	1	0	0	1	0	2	0	0	0	0
Credit Sesame	0	1	0	0	0	0	1	0	0	0	0	1	1	0	2	1	0	1	0	0	0	0	0	0	1	0	3
DataMarket	0	0	1	0	0	0	0	2	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	1
Energy Points, Inc.	0	2	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	3	0	0
Charles Schwab Corp.	1	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	2	0
Collective IP	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Allianz	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Esri	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1
Geolytics	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	2	0	2	2	0	0	1	0	0	0	0	0
Import.io	1	1	0	0	1	0	0	4	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	1	0	0
DataWeave	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
BetterLesson	0	0	0	0	2	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0
Farmers	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	2	0	1	2	0	0	0	0	0	0
Dabo Health	2	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	1
Bekins	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Epsilon	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
Clean Power Finance	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
Enigma.io	0	0	2	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	0	0	0	0	1	0	0
Geofeedia	1	0	0	1	2	0	0	1	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	1	0	1	1
Ceiba Solutions	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
IMS Health	0	1	0	0	1	1	1	0	0	1	3	0	1	2	2	1	0	0	0	0	1	0	0	1	1	0	0
Accenture	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	2	1	0	1	0
CityScan	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	1	3	0	0
IFI CLAIMS Patent Services	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	1	3	0	0	0	1	0	0
InCadence	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	4	1	2	2	1	1	1
FarmLogs	0	0	1	0	1	0	0	2	0	0	0	0	0	2	1	2	0	0	0	0	0	1	0	1	0	0	4
College Board	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	2	0
Captricity	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0
Factual	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Atlas Van Lines	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	0
Boundless	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	2	2	0	0	0	1
iMedicare	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1
Dow Jones & Co.	0	0	0	3	0	2	0	0	1	0	0	0	3	0	0	0	0	0	0	1	1	0	0	1	0	0	0
Compared Care	0	0	2	0	1	0	0	1	0	0	1	0	2	0	0	0	0	1	0	1	1	0	0	0	3	0	0
5PSolutions	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Docket Alarm, Inc.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Harris Corporation	2	0	0	0	0	3	0	0	0	2	0	0	2	2	0	0	1	0	0	0	1	0	0	2	0	0	0
Innovest Systems	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0
ClearStory Data	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arrive Labs	1	0	2	0	1	0	0	3	0	0	0	0	2	0	1	3	0	0	0	0	0	2	3	0	0	0	0
EMC	0	0	0	0	0	0	0	0	0	0	0	3	3	2	0	0	0	2	0	1	0	0	0	0	0	0	0
Castle Biosciences	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Graebel Van Lines	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Solutions Forum	1	0	0	0	2	2	0	1	0	2	0	0	2	0	1	1	1	2	2	5	0	0	2	0	0	1	0
HDScores, Inc	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Fastcase	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	3	1	0	0	0	0	1	0	0
BuildZoom	0	0	0	0	0	0	0	0	0	1	0	0	1	0	6	2	0	0	0	0	0	0	0	0	3	1	0
Inovalon	0	3	0	0	1	2	3	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	3	0	1	0
HopStop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AtSite	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	2	2	0	0	0
Environmental Data Resources	0	0	0	0	0	1	1	1	0	1	0	0	4	1	1	0	0	2	0	0	0	0	1	0	0	0	0
AreaVibes Inc.	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
Adaptive	0	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Fitch	0	0	0	1	0	0	2	0	2	0	0	0	1	0	0	0	0	0	2	0	3	0	2	0	0	0	0
Capital Cube	0	0	1	1	3	2	0	0	1	0	0	0	0	0	3	1	0	2	1	2	0	0	0	1	0	1	0
ASC Partners	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	1	2
Cloudmade	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0
CitySourced	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	0	0
Certara	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	0	1	1	0	0	0	0	0
Equal Pay for Women	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
GovTribe	0	0	2	0	0	0	0	0	0	3	0	1	1	2	1	1	1	0	0	1	0	0	0	1	0	1	2
